segment,churn_probability,risk_level,Total_Trans_Amt,Total_Trans_Ct,Avg_Utilization_Ratio,Total_Relationship_Count
Low Engagement Users,0.18682952,High Risk,1144,42,0.061,5
Low Engagement Users,0.028311556,Low Risk,1291,33,0.105,6
Low Engagement Users,0.006570938,Low Risk,1887,20,0.0,4
Credit Revolvers,0.03427928,Low Risk,1171,20,0.76,3
Low Engagement Users,0.0064548054,Low Risk,816,28,0.0,5
Low Engagement Users,0.072634,Medium Risk,1088,24,0.311,3
Low Engagement Users,0.0074818525,Low Risk,1330,31,0.066,6
Low Engagement Users,0.011532155,Low Risk,1538,36,0.048,2
Low Engagement Users,0.03543332,Low Risk,1350,24,0.113,5
Low Engagement Users,0.020438217,Low Risk,1441,32,0.144,6
Low Engagement Users,0.060178585,Low Risk,1201,42,0.217,5
Low Engagement Users,0.050452754,Low Risk,1314,26,0.174,6
Low Engagement Users,0.0096686175,Low Risk,1539,17,0.0,3
Low Engagement Users,0.13098575,Medium Risk,1311,33,0.195,5
Low Engagement Users,0.07949657,Medium Risk,1570,29,0.279,5
Low Engagement Users,0.027942788,Low Risk,1348,27,0.23,5
Low Engagement Users,0.0268933,Low Risk,1671,27,0.078,6
Low Engagement Users,0.14918602,Medium Risk,1028,21,0.095,4
Credit Revolvers,0.03674882,Low Risk,1336,30,0.788,2
Low Engagement Users,0.10224438,Medium Risk,1207,21,0.08,6
Low Engagement Users,0.11514057,Medium Risk,1178,27,0.086,5
Low Engagement Users,0.022377478,Low Risk,692,16,0.0,2
Low Engagement Users,0.04153295,Low Risk,931,18,0.152,4
Credit Revolvers,0.028256271,Low Risk,1126,23,0.626,3
Low Engagement Users,0.021581134,Low Risk,1110,21,0.0,4
Low Engagement Users,0.051626783,Low Risk,1051,22,0.215,6
Low Engagement Users,0.15429531,Medium Risk,1197,23,0.093,4
Low Engagement Users,0.14616367,Medium Risk,1904,40,0.099,3
Low Engagement Users,0.027580384,Low Risk,1052,18,0.0,5
Low Engagement Users,0.03828686,Low Risk,1045,38,0.285,6
Credit Revolvers,0.15536673,Medium Risk,1038,25,0.658,3
Credit Revolvers,0.2225654,High Risk,1596,26,0.69,2
Credit Revolvers,0.027942788,Low Risk,1589,24,0.282,4
Credit Revolvers,0.030113222,Low Risk,1411,28,0.562,5
Low Engagement Users,0.027518222,Low Risk,1291,24,0.135,6
Credit Revolvers,0.023034254,Low Risk,1407,43,0.544,4
Credit Revolvers,0.03610668,Low Risk,1877,37,0.757,6
Low Engagement Users,0.05926514,Low Risk,966,22,0.0,2
Low Engagement Users,0.093983844,Medium Risk,1464,28,0.241,3
Low Engagement Users,0.054105088,Low Risk,704,16,0.077,5
Low Engagement Users,0.06253939,Low Risk,1109,28,0.018,2
Credit Revolvers,0.02926143,Low Risk,1347,28,0.355,4
Low Engagement Users,0.047957513,Low Risk,1756,33,0.145,3
Low Engagement Users,0.04768576,Low Risk,1756,32,0.0,5
Low Engagement Users,0.12537713,Medium Risk,1042,23,0.209,2
Low Engagement Users,0.018669896,Low Risk,1444,28,0.0,3
Credit Revolvers,0.010749483,Low Risk,1741,27,0.626,6
Credit Revolvers,0.033422165,Low Risk,1719,27,0.793,3
Low Engagement Users,0.07634488,Medium Risk,1217,27,0.074,4
Low Engagement Users,0.02349003,Low Risk,1140,40,0.259,5
Credit Revolvers,0.21508265,High Risk,1878,30,0.591,6
Credit Revolvers,0.094819926,Medium Risk,705,19,0.562,2
Credit Revolvers,0.2102572,High Risk,1946,38,0.687,3
Low Engagement Users,0.032202616,Low Risk,1414,35,0.127,4
Low Engagement Users,0.01583844,Low Risk,602,15,0.0,1
Credit Revolvers,0.045995273,Low Risk,1052,32,0.667,6
Credit Revolvers,0.040280733,Low Risk,1295,40,0.843,2
Credit Revolvers,0.21432245,High Risk,1424,29,0.422,4
Low Engagement Users,0.02369101,Low Risk,1359,25,0.156,4
Credit Revolvers,0.14532693,Medium Risk,1168,27,0.525,4
Credit Revolvers,0.06892481,Medium Risk,1097,33,0.587,4
Low Engagement Users,0.14296117,Medium Risk,691,15,0.0,2
Low Engagement Users,0.17002544,Medium Risk,1316,28,0.211,5
Low Engagement Users,0.06806083,Medium Risk,1276,26,0.088,2
Low Engagement Users,0.13400239,Medium Risk,1289,23,0.111,4
Low Engagement Users,0.128759,Medium Risk,1293,32,0.044,4
Low Engagement Users,0.04375401,Low Risk,1353,35,0.276,5
Credit Revolvers,0.063141614,Low Risk,1132,28,0.704,6
Credit Revolvers,0.03125901,Low Risk,1670,17,0.656,2
Low Engagement Users,0.16021554,Medium Risk,837,15,0.053,6
Low Engagement Users,0.19474132,High Risk,1550,41,0.051,3
Credit Revolvers,0.04389635,Low Risk,1540,36,0.467,5
Credit Revolvers,0.0446706,Low Risk,1256,21,0.698,4
Low Engagement Users,0.024354635,Low Risk,1394,35,0.067,6
Low Engagement Users,0.2299728,High Risk,1341,24,0.079,3
Low Engagement Users,0.05078617,Low Risk,1289,33,0.287,5
Credit Revolvers,0.08250872,Medium Risk,1112,23,0.36,6
Low Engagement Users,0.10279288,Medium Risk,2339,57,0.256,4
Credit Revolvers,0.024747254,Low Risk,1468,23,0.719,6
Low Engagement Users,0.054407217,Low Risk,1334,35,0.066,6
Low Engagement Users,0.22825176,High Risk,1457,41,0.198,4
Low Engagement Users,0.063648835,Low Risk,1603,29,0.044,6
Low Engagement Users,0.010569312,Low Risk,615,12,0.0,2
Low Engagement Users,0.03630245,Low Risk,1068,20,0.14,2
Low Engagement Users,0.18442956,High Risk,1590,27,0.035,5
Credit Revolvers,0.050999507,Low Risk,1531,35,0.619,5
Low Engagement Users,0.04109691,Low Risk,1212,31,0.108,4
Low Engagement Users,0.009108759,Low Risk,1237,32,0.0,5
Low Engagement Users,0.033768892,Low Risk,1413,14,0.066,4
Low Engagement Users,0.018669896,Low Risk,1516,29,0.0,5
Low Engagement Users,0.047085535,Low Risk,1276,21,0.0,3
Low Engagement Users,0.137896,Medium Risk,1564,35,0.062,4
Low Engagement Users,0.010533299,Low Risk,1465,34,0.0,4
Credit Revolvers,0.120110534,Medium Risk,1286,29,0.765,5
Credit Revolvers,0.028202875,Low Risk,1312,20,0.963,5
Credit Revolvers,0.016878122,Low Risk,1673,32,0.524,6
Credit Revolvers,0.03747652,Low Risk,1313,30,0.347,5
Credit Revolvers,0.0693634,Medium Risk,1609,42,0.45,5
Low Engagement Users,0.024942255,Low Risk,1158,19,0.232,3
Low Engagement Users,0.042236526,Low Risk,836,18,0.299,2
Low Engagement Users,0.09145193,Medium Risk,1289,22,0.085,4
Low Engagement Users,0.06391626,Low Risk,1487,26,0.059,5
Credit Revolvers,0.031537484,Low Risk,1259,33,0.43,6
Credit Revolvers,0.18452677,High Risk,1298,15,0.62,3
Low Engagement Users,0.01784069,Low Risk,1226,34,0.0,3
Low Engagement Users,0.050496414,Low Risk,1566,37,0.111,2
Low Engagement Users,0.12626508,Medium Risk,1022,21,0.027,6
Low Engagement Users,0.083665594,Medium Risk,1235,30,0.169,5
Low Engagement Users,0.022568502,Low Risk,1951,44,0.0,6
Low Engagement Users,0.050016947,Low Risk,1047,31,0.058,6
Low Engagement Users,0.02112206,Low Risk,1342,32,0.223,4
Low Engagement Users,0.1959092,High Risk,1107,21,0.057,5
Credit Revolvers,0.017944038,Low Risk,1251,35,0.513,5
Credit Revolvers,0.02959316,Low Risk,1305,24,0.473,2
Low Engagement Users,0.09803745,Medium Risk,1388,37,0.095,6
Low Engagement Users,0.045772962,Low Risk,1235,18,0.047,6
Low Engagement Users,0.16255213,Medium Risk,2089,36,0.106,3
Low Engagement Users,0.057084665,Low Risk,1626,25,0.156,4
